table,column,count,mean,median,p25,p75,pct_missing
wi_svi_2022.parquet,overall_svi_percentile,1523,0.4999927117531189,0.5,0.25,0.75,0.00327225130890052
wi_svi_2022.parquet,socioeconomic_theme_percentile,1523,0.49996500328299415,0.5,0.25,0.75,0.00327225130890052
wi_svi_2022.parquet,household_characteristics_percentile,1524,0.4999778871391076,0.5,0.250025,0.7499750000000001,0.002617801047120394
wi_svi_2022.parquet,minority_language_percentile,1525,0.49852714754098354,0.5,0.248,0.7493,0.0019633507853402676
wi_svi_2022.parquet,housing_transport_percentile,1524,0.49998143044619425,0.5,0.250025,0.7499750000000001,0.002617801047120394
wi_pm25_2022.parquet,indicator_value,1542,7.891271101737861,8.04035806010929,7.4958060792349706,8.62904713114754,0.0
tract_screening_view.parquet,indicator_value,1542,7.891271101737861,8.04035806010929,7.4958060792349706,8.62904713114754,0.0
tract_screening_view.parquet,indicator_percentile_wi,1542,0.5003242542153048,0.5003242542153048,0.2504863813229572,0.7501621271076524,0.0
tract_screening_view.parquet,overall_svi_percentile,1523,0.4999927117531188,0.5,0.25,0.75,0.012321660181582317
