city,pollutant,nominal_coverage,overall_empirical_coverage,coverage_fall,coverage_winter
madison,pm25,0.8,0.4945652173913043,0.45901639344262296,0.5645161290322581
milwaukee,no2,0.8,0.5543478260869565,0.47540983606557374,0.7096774193548387
