method,r2,rmse,mae,train_end,test_month_start,test_month_end,n_train,n_test,city,pollutant,variant
model_random_forest,0.716382621971718,3.054299034302973,2.5244930962841177,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.7182221868347922,3.044377707317459,2.5224856745762203,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,multiscale_land_use
baseline_global_mean,-0.14239146253517876,7.4193679541242545,5.5046241729931955,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,multiscale_land_use
baseline_persistence,0.14936661650533434,6.402220783166391,4.970317316666666,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,multiscale_land_use
model_random_forest,0.6866489000434075,3.885751714125189,2.973785009623702,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.7220604803049587,3.659608156101047,2.962163239880882,2022-11-01,2022-11-01,2022-12-01,735,60,milwaukee,no2,multiscale_land_use
baseline_global_mean,-0.023409422681768488,4.8020741529206585,3.9572192580645162,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,multiscale_land_use
baseline_persistence,0.09059542665982911,4.526710528916928,3.307579725806451,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,multiscale_land_use
model_random_forest,0.6626767576623886,2.756939841000257,2.1872491692062574,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.6652911835696294,2.746235219322978,2.173227140574749,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,multiscale_land_use
