r2,rmse,mae,n_features,city,pollutant,ablated_family,r2_drop_from_full
0.5150504882020894,3.3546500031778184,2.491633229114704,28,madison,pm25,none (full model),
0.5143915547256388,3.3569283236618084,2.4679347286482765,24,madison,pm25,satellite,0.0006589334764506294
0.039500357978431544,4.721147364278433,3.465027286300688,16,madison,pm25,meteorology,0.4755501302236579
0.5258675578279097,3.317025339508049,2.481558449671225,22,madison,pm25,land_use,-0.010817069625820297
0.47476813141987273,3.491198059113197,2.5569342883965054,22,madison,pm25,time,0.0402823567822167
0.6932515739114662,3.2702826534087843,2.6098302776735114,28,milwaukee,no2,none (full model),
0.6970018094722439,3.2502303151046434,2.600516297894833,24,milwaukee,no2,satellite,-0.0037502355607776927
0.4254638251555458,4.4756159048081345,3.5505383342787002,16,milwaukee,no2,meteorology,0.2677877487559204
0.33683071579652524,4.808463465817065,3.798530839481032,22,milwaukee,no2,land_use,0.35642085811494095
0.5617134664755503,3.9090676172840944,2.9511963376411567,22,milwaukee,no2,time,0.13153810743591587
