method,r2,rmse,mae,train_end,test_month_start,test_month_end,n_train,n_test,city,pollutant
model_random_forest,0.6851368087422057,2.4393799830020697,1.9644655813642986,2022-11-01,2022-11-01,2022-12-01,608,60,madison,pm25
model_hist_gradient_boosting,0.6010596103782387,2.745822839220789,2.223253523222398,2022-11-01,2022-11-01,2022-12-01,608,60,madison,pm25
baseline_global_mean,-0.11410001784946266,3.634631388060133,2.9608619197556503,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
baseline_persistence,-0.14533294823590692,3.6852262786609034,2.7399999798387102,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
model_random_forest,0.27680883138719325,2.9283625165139693,2.3108196544898965,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
model_hist_gradient_boosting,0.21259977049557488,3.0555968291892435,2.2860528327796743,2022-12-01,2022-12-01,2023-01-01,668,62,madison,pm25
baseline_global_mean,-0.8178702150133303,5.4275465624092885,4.954064858781361,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2
baseline_persistence,0.23086062572330368,3.5304059243459416,2.6058975483870968,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2
model_random_forest,0.39881398004729307,3.1212356406144477,2.697254548098527,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2
model_hist_gradient_boosting,0.43463255622969454,3.026826440973088,2.497207581665294,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2
baseline_global_mean,-0.09727840447880998,5.456288743073284,4.894863945338597,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2
baseline_persistence,0.36875280945482125,4.138459009569174,3.0152859325842694,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2
model_random_forest,0.7820321043328207,2.4318411025271405,1.8217762823344839,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2
model_hist_gradient_boosting,0.7567102362674886,2.5692173560296143,1.937200572239157,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2
baseline_global_mean,-0.2382347528540214,4.786857289670278,4.340706627936603,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2
baseline_persistence,0.5362437192989087,2.9295025999304727,2.1044161075268817,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2
model_random_forest,0.8532621114596116,1.6478592659608988,1.2050113208193134,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2
model_hist_gradient_boosting,0.8295817217978734,1.7758532408254504,1.2939317426654064,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2
baseline_global_mean,-0.12149510944919806,4.608146407244927,4.097213128619671,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2
baseline_persistence,0.6273936646665284,2.656150593091655,2.115138847826087,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2
model_random_forest,0.8628691344260551,1.6113696718838544,1.2212399009612407,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2
model_hist_gradient_boosting,0.8654505126191352,1.5961312497377997,1.2240904400477393,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2
