group,mean,std,count,group_type,city,pollutant
550250041,0.21773215622751083,3.3510429240280093,92,site,madison,pm25
550250047,0.5315653196638557,3.3453853511804716,92,site,madison,pm25
fall,0.45175843566918683,3.518786609882518,122,season,madison,pm25
winter,0.2229167521026599,2.987658188745714,62,season,madison,pm25
550790056,-0.8496762795070062,3.635075315131685,92,site,milwaukee,no2
550790068,-0.8441349857128472,2.638275307816265,92,site,milwaukee,no2
fall,-0.2618518499809656,3.354990910381643,122,season,milwaukee,no2
winter,-1.9981404952023984,2.3952067795120557,62,season,milwaukee,no2
