site_id,date,Method Name,Observation Percent,Event Type
550250041,2022-12-13,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,100.0,
550250041,2022-12-19,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,100.0,
550250041,2022-12-25,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,100.0,
550250041,2022-12-31,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,100.0,
550250041,2022-01-01,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-02,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-03,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-04,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-05,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-06,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-07,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-08,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-09,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-10,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-11,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-12,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,88.0,Included
550250041,2022-01-13,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-14,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-15,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-16,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-17,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-18,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-19,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-20,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-21,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-22,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-23,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-24,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-25,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-26,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-27,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-28,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-29,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-30,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-01-31,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-01,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-02,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-03,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-04,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-05,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-06,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-07,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-08,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-09,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-10,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-11,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-12,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-13,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-14,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-15,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-16,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-17,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-18,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-19,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-20,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-21,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-22,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-23,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-24,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-25,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-26,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-27,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-02-28,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-01,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-02,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-03,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-04,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-05,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-06,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-07,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-08,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-09,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-10,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-11,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-12,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-13,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-14,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-15,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-16,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-17,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-18,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-19,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-20,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-21,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-22,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-23,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-24,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
550250041,2022-03-25,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,100.0,Included
